Model;Scheme_ID;Pos;Number;Qty;Name;Specs
901.4;1009000;;5082035;;Модуль;
901.4;1009000;1;837062614;1;Ремкомплект;Complete repair kit incl. pos 3
901.4;1009000;2;837062606;1;Комплект прокладок;(S1)
901.4;1009000;3;837062607;1;Комплект прокладок;(S1 + S2)
901.4;1010100;;5054315;;Модуль;
901.4;1010100;;5036780;1;Воздушный фильтр;Complete
901.4;1010100;1;5036781;1;Воздушный фильтр;Outer
901.4;1010100;2;5036782;1;Воздушный фильтр;inner
901.4;1010100;6;5058501;1;Клапан;
901.4;1010150;;5072880;;Модуль;
901.4;1010150;2;943483;1;Зажим шланга;87-112
901.4;1010150;3;5073723;1;Труба;
901.4;1010150;4;5057478;4;Зажим;70-92
901.4;1010150;5;5055570;4;Шланг;
901.4;1010150;6;5063742;1;Держатель;
901.4;1010150;7;5012555;2;Перечень;
901.4;1010150;8;;;;
901.4;1010150;9;5054141;1;Труба;
901.4;1010150;10;943484;2;Зажим шланга;104-138
901.4;1010150;11;;;;
901.4;1010150;12;5054129;1;Шланг;
901.4;1010150;13;955323;2;Болт;M6S 10x55 8.8
901.4;1010150;14;5035356;2;Зажим;
901.4;1010150;15;5048298;1;Уплотнение;
901.4;1010150;16;5057477;4;Зажим;
901.4;1010150;17;5058265;1;Датчик;"M10x1, 50 mBar"
901.4;1010150;18;5036780;1;Воздушный фильтр;Complete
901.4;1010150;19;943484;1;Зажим шланга;104-138
