Model;ID;Parent_ID;Name;Image;Is_Scheme
901.4;1000000;ROOT;Двигатель;engine.png;0
901.4;1009000;1000000;Комплект прокладок;5082035.png;1
901.4;1010000;1000000;Впуск - выпуск;;0
901.4;1010100;1010000;Воздушный фильтр;5054315.png;1
901.4;1010150;1010000;Система впуска;5072880.png;1
901.4;1010200;1000000;Впускной и выпускной коллектор;;1
901.4;1010300;1000000;Трубопроводы к турбоагрегату;;1
901.4;1010400;1000000;Выхлопная система;;1
901.4;1020000;1000000;Блок двигателя;;0
901.4;1030000;1000000;Топливная система;;0
901.4;1040000;1000000;Система охлаждения;;0
901.4;1050000;1000000;Система смазки;;0
901.4;1070000;1000000;Электродвигатель стартера;;0
901.4;1080000;1000000;Генератор переменного тока;;0
901.4;1090000;1000000;Электрический;;0
901.4;1110000;1000000;Подогреватель;;0
901.4;1120000;1000000;Установка двигателя;;0
901.4;1130000;1000000;Кондиционер воздуха;;0
